"A. Socialdemokratiet","Ballerup",12637
"A. Socialdemokratiet","Brøndby",8104
"A. Socialdemokratiet","Gentofte",3461
"A. Socialdemokratiet","Gladsaxe",10633
"A. Socialdemokratiet","Glostrup",3921
"A. Socialdemokratiet","Herlev",6355
"A. Socialdemokratiet","Hvidovre",8535
"A. Socialdemokratiet","Høje-Taastrup",6485
"A. Socialdemokratiet","Ishøj",3713
"A. Socialdemokratiet","Lyngby-Taarbæk",3866
"A. Socialdemokratiet","Rødovre",8539
"A. Socialdemokratiet","Vallensbæk",1669
"A. Socialdemokratiet","Allerød",2428
"A. Socialdemokratiet","Egedal",5481
"A. Socialdemokratiet","Fredensborg",6529
"A. Socialdemokratiet","Frederikssund",7356
"A. Socialdemokratiet","Furesø",8348
"A. Socialdemokratiet","Gribskov",2759
"A. Socialdemokratiet","Halsnæs",7801
"A. Socialdemokratiet","Helsingør",8903
"A. Socialdemokratiet","Hillerød",6981
"A. Socialdemokratiet","Hørsholm",1638
"A. Socialdemokratiet","Rudersdal",3470
"A. Socialdemokratiet","Bornholm",3616
"A. Socialdemokratiet","Christiansø",0
"A. Socialdemokratiet","Greve",6941
"A. Socialdemokratiet","Køge",10429
"A. Socialdemokratiet","Lejre",3489
"A. Socialdemokratiet","Roskilde",13571
"A. Socialdemokratiet","Solrød",2187
"A. Socialdemokratiet","Faxe",5541
"A. Socialdemokratiet","Guldborgsund",9537
"A. Socialdemokratiet","Holbæk",23586
"A. Socialdemokratiet","Kalundborg",6536
"A. Socialdemokratiet","Lolland",8686
"A. Socialdemokratiet","Næstved",17006
"A. Socialdemokratiet","Odsherred",6743
"A. Socialdemokratiet","Ringsted",3761
"A. Socialdemokratiet","Slagelse",11228
"A. Socialdemokratiet","Sorø",4704
"A. Socialdemokratiet","Stevns",3141
"A. Socialdemokratiet","Vordingborg",8921
"A. Socialdemokratiet","Assens",6157
"A. Socialdemokratiet","Faaborg-Midtfyn",10243
"A. Socialdemokratiet","Kerteminde",5075
"A. Socialdemokratiet","Langeland",1043
"A. Socialdemokratiet","Middelfart",8867
"A. Socialdemokratiet","Nordfyns",4520
"A. Socialdemokratiet","Nyborg",5157
"A. Socialdemokratiet","Odense",33458
"A. Socialdemokratiet","Svendborg",11897
"A. Socialdemokratiet","Ærø",853
"A. Socialdemokratiet","Billund",4455
"A. Socialdemokratiet","Esbjerg",15920
"A. Socialdemokratiet","Fanø",190
"A. Socialdemokratiet","Fredericia",9706
"A. Socialdemokratiet","Haderslev",9001
"A. Socialdemokratiet","Kolding",8818
"A. Socialdemokratiet","Sønderborg",17514
"A. Socialdemokratiet","Tønder",3010
"A. Socialdemokratiet","Varde",5461
"A. Socialdemokratiet","Vejen",6290
"A. Socialdemokratiet","Vejle",18342
"A. Socialdemokratiet","Aabenraa",8678
"A. Socialdemokratiet","Favrskov",9478
"A. Socialdemokratiet","Hedensted",8361
"A. Socialdemokratiet","Horsens",17846
"A. Socialdemokratiet","Norddjurs",6240
"A. Socialdemokratiet","Odder",3402
"A. Socialdemokratiet","Randers",17175
"A. Socialdemokratiet","Samsø",829
"A. Socialdemokratiet","Silkeborg",15523
"A. Socialdemokratiet","Skanderborg",10512
"A. Socialdemokratiet","Syddjurs",6160
"A. Socialdemokratiet","Aarhus",55295
"A. Socialdemokratiet","Herning",6942
"A. Socialdemokratiet","Holstebro",12493
"A. Socialdemokratiet","Ikast-Brande",4905
"A. Socialdemokratiet","Lemvig",2282
"A. Socialdemokratiet","Ringkøbing-Skjern",4581
"A. Socialdemokratiet","Skive",7791
"A. Socialdemokratiet","Struer",3788
"A. Socialdemokratiet","Viborg",12210
"A. Socialdemokratiet","Brønderslev",5923
"A. Socialdemokratiet","Frederikshavn",18757
"A. Socialdemokratiet","Hjørring",11207
"A. Socialdemokratiet","Jammerbugt",6198
"A. Socialdemokratiet","Læsø",200
"A. Socialdemokratiet","Mariagerfjord",8241
"A. Socialdemokratiet","Morsø",3473
"A. Socialdemokratiet","Rebild",2506
"A. Socialdemokratiet","Thisted",8249
"A. Socialdemokratiet","Vesthimmerlands",3439
"A. Socialdemokratiet","Aalborg",42149
"B. Radikale Venstre","København",36688
"B. Radikale Venstre","Frederiksberg",5686
"B. Radikale Venstre","Dragør",345
"B. Radikale Venstre","Tårnby",776
"B. Radikale Venstre","Albertslund",1012
"B. Radikale Venstre","Ballerup",1033
"B. Radikale Venstre","Brøndby",800
"B. Radikale Venstre","Gentofte",4114
"B. Radikale Venstre","Gladsaxe",2471
"B. Radikale Venstre","Glostrup",516
"B. Radikale Venstre","Herlev",536
"B. Radikale Venstre","Hvidovre",725
"B. Radikale Venstre","Høje-Taastrup",1018
"B. Radikale Venstre","Ishøj",356
"B. Radikale Venstre","Lyngby-Taarbæk",3159
"B. Radikale Venstre","Rødovre",657
"B. Radikale Venstre","Vallensbæk",195
"B. Radikale Venstre","Allerød",945
"B. Radikale Venstre","Egedal",1092
"B. Radikale Venstre","Fredensborg",2534
"B. Radikale Venstre","Frederikssund",845
"B. Radikale Venstre","Furesø",2130
"B. Radikale Venstre","Gribskov",797
"B. Radikale Venstre","Halsnæs",293
"B. Radikale Venstre","Helsingør",2298
"B. Radikale Venstre","Hillerød",1768
"B. Radikale Venstre","Hørsholm",877
"B. Radikale Venstre","Rudersdal",2472
"B. Radikale Venstre","Bornholm",443
"B. Radikale Venstre","Christiansø",0
"B. Radikale Venstre","Greve",539
"B. Radikale Venstre","Køge",1841
"B. Radikale Venstre","Lejre",629
"B. Radikale Venstre","Roskilde",3313
"B. Radikale Venstre","Solrød",129
"B. Radikale Venstre","Faxe",323
"B. Radikale Venstre","Guldborgsund",588
